title	date	journal	url	EMOBON_publication
Deep sequencing uncovers protistan plankton diversity in the Portuguese Ria Formosa solar saltern ponds	2014	Extremophiles	https://doi.org/10.1007/s00792-014-0713-2	No
Depth perception: cuttlefish (Sepia officinalis) respond to visual texture density gradients	2014	Animal Cognition	https://doi.org/10.1007/s10071-014-0774-8	No
The Marine Dinoflagellate Alexandrium andersoni Induces Cell Death in Lung and Colorectal Tumor Cell Lines	2018	Marine Biotechnology	https://doi.org/10.1007/s10126-018-9817-5	No
The Sponge-Associated Fungus Eurotium chevalieri MUT 2316 and its Bioactive Molecules: Potential Applications in the Field of Antifouling	2019	Marine Biotechnology	https://doi.org/10.1007/s10126-019-09920-y	No
Genome analysis and its significance in four unicellular algae, Cyanidioschyzon merolae, Ostreococcus tauri, Chlamydomonas reinhardtii, and Thalassiosira pseudonana	2008	Journal of Plant Research	https://doi.org/10.1007/s10265-008-0154-z	No
Acoustic and visual courtship traits in two sympatric marine Gobiidae species – Pomatoschistus microps and Pomatoschistus minutus	2016	Environmental Biology of Fishes	https://doi.org/10.1007/s10641-016-0550-5	No
Electric ultrafreezer (− 150 °C) as an alternative for zebrafish sperm cryopreservation and storage	2018	Fish Physiology and Biochemistry	https://doi.org/10.1007/s10695-018-0500-6	No
Development and characterization of twelve microsatellite markers for Porphyra linearis Greville	2016	Genetica	https://doi.org/10.1007/s10709-016-9941-y	No
Comparison of small remotely operated vehicles and diver-operated video of circalittoral benthos	2015	Hydrobiologia	https://doi.org/10.1007/s10750-015-2459-y	No
Erratum to: On the description of Tisochrysis lutea gen. nov. sp. nov. and Isochrysis nuda sp. nov. in the Isochrysidales, and the transfer of Dicrateria to the Prymnesiales (Haptophyta)	2014	Journal of Applied Phycology	https://doi.org/10.1007/s10811-014-0284-8	No
Comparative analyses and evaluation of the cosmeceutical potential of selected Chlorella strains	2016	Journal of Applied Phycology	https://doi.org/10.1007/s10811-016-0909-1	No
Novel species of the oomycete Olpidiopsis potentially threaten European red algal cultivation	2018	Journal of Applied Phycology	https://doi.org/10.1007/s10811-018-1641-9	No
Up-Regulation of Lipoxygenase, Phospholipase, and Oxylipin-Production in the Induced Chemical Defense of the Red Alga Gracilaria chilensis against Epiphytes	2011	Journal of Chemical Ecology	https://doi.org/10.1007/s10886-011-9981-9	No
Chemoreception of the Seagrass Posidonia Oceanica by Benthic Invertebrates is Altered by Seawater Acidification	2015	Journal of Chemical Ecology	https://doi.org/10.1007/s10886-015-0610-x	No
Who Produces Ianthelline? The Arctic Sponge Stryphnus fortis or its Sponge Epibiont Hexadella dedritifera: a Probable Case of Sponge-Sponge Contamination	2016	Journal of Chemical Ecology	https://doi.org/10.1007/s10886-016-0693-z	No
Isolation and characterisation of 14 novel microsatellite markers through Next Generation Sequencing for the commercial Atlantic seabob shrimp Xiphopenaeus kroyeri	2019	Molecular Biology Reports	https://doi.org/10.1007/s11033-019-05026-9	No
Carbon allocation and element composition in four Chlamydomonas mutants defective in genes related to the CO2 concentrating mechanism	2014	Photosynthesis Research	https://doi.org/10.1007/s11120-014-0005-9	No
Correction to: Arctic Micromonas uses protein pools and non-photochemical quenching to cope with temperature restrictions on Photosystem II protein turnover	2017	Photosynthesis Research	https://doi.org/10.1007/s11120-017-0471-y	No
Comparison of photosynthetic performances of marine picocyanobacteria with different configurations of the oxygen-evolving complex	2018	Photosynthesis Research	https://doi.org/10.1007/s11120-018-0539-3	No
Short-Term Changes in Marine Prokaryotic and Eukaryotic Microalgal Communities Exposed to the Leachate of a Seafloor Hydrothermal Sulfide	2019	Water, Air,  Soil Pollution	https://doi.org/10.1007/s11270-019-4224-8	No
Discovery pipelines for marine resources: an ocean of opportunity for biotechnology?	2019	World Journal of Microbiology and Biotechnology	https://doi.org/10.1007/s11274-019-2685-y	No
Quantification and in situ localisation of abcb1 and abcc9genes in toxicant-exposed sea urchin embryos	2013	Environmental Science and Pollution Research	https://doi.org/10.1007/s11356-013-1819-2	No
Developmental Gene Expression Profile of Axon Guidance Cues in Purkinje Cells During Cerebellar Circuit Formation	2014	The Cerebellum	https://doi.org/10.1007/s12311-014-0548-5	No
Pteroclava krempfi-octocoral symbiosis: new information from the Indian Ocean and the Red Sea	2015	Marine Biodiversity	https://doi.org/10.1007/s12526-015-0368-y	No
Genetic diversity of the Acropora-associated hydrozoans: new insight from the Red Sea	2017	Marine Biodiversity	https://doi.org/10.1007/s12526-017-0632-4	No
Isolation and characterization of fourteen microsatellite loci from the endangered octocoral Eunicella verrucosa (Pallas 1766)	2013	Conservation Genetics Resources	https://doi.org/10.1007/s12686-013-9919-3	No
Microsatellite markers for the Arctic copepod Calanus glacialis and cross-amplification with C. finmarchicus	2014	Conservation Genetics Resources	https://doi.org/10.1007/s12686-014-0269-6	No
Are copepods secondary hosts of Cycliophora?	2014	Organisms Diversity  Evolution	https://doi.org/10.1007/s13127-014-0179-1	No
The plastic nervous system of Nemertodermatida	2015	Organisms Diversity  Evolution	https://doi.org/10.1007/s13127-015-0248-0	No
Ultrastructural differences in presumed photoreceptive organs and molecular data as a means for species discrimination in Polygordius (Annelida, Protodriliformia, Polygordiidae)	2016	Organisms Diversity  Evolution	https://doi.org/10.1007/s13127-016-0272-8	No
Evolution and diversity of ram-suction feeding in damselfishes (Pomacentridae)	2017	Organisms Diversity  Evolution	https://doi.org/10.1007/s13127-017-0329-3	No
Ultrastructural and immunocytochemical investigation of paramylon combined with new 18S rDNA-based secondary structure analysis clarifies phylogenetic affiliation of Entosiphon sulcatum (Euglenida: Euglenozoa)	2017	Organisms Diversity  Evolution	https://doi.org/10.1007/s13127-017-0330-x	No
New insights into the genetic diversity of zooxanthellae in Mediterranean anthozoans	2014	Symbiosis	https://doi.org/10.1007/s13199-014-0286-y	No
The influence of bio-optical properties of Emiliania huxleyi and Tetraselmis sp. on biomass and lipid production when exposed to different light spectra and intensities of an adjustable LED array and standard light sources	2019	SN Applied Sciences	https://doi.org/10.1007/s42452-019-0529-x	No
Molecular Marker–Assisted Selective Breeding of Largemouth Bass	2019	Genetic Breeding and Molecular Marker-Assisted Selective Breeding of Largemouth Bass	https://doi.org/10.1016/b978-0-12-816473-0.00005-0	No
Current and future biogeography of exploited marine groups under climate change	2019	Predicting Future Oceans	https://doi.org/10.1016/b978-0-12-817945-1.00009-5	No
Immune Organs and Cells of Amphioxus	2016	Amphioxus Immunity	https://doi.org/10.1016/b978-0-12-849903-0.00003-8	No
In vivo analysis of protein translation activity in sea urchin eggs and embryos	2019	Methods in Cell Biology,Echinoderms, Part B	https://doi.org/10.1016/bs.mcb.2018.10.008	No
Mir-20a regulates in vitro mineralization and BMP signaling pathway by targeting BMP-2 transcript in fish	2014	Archives of Biochemistry and Biophysics	https://doi.org/10.1016/j.abb.2013.12.009	No
Mineral formation in the primary polyps of pocilloporoid corals	2019	Acta Biomaterialia	https://doi.org/10.1016/j.actbio.2019.07.016	No
